# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:44:23
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
3.90476192	-61.66619501
3.91208793	-61.74401059
3.91941394	-64.49580963
3.92673994	-63.97212795
3.93406595	-62.58109111
3.94139196	-64.25234567
3.94871797	-67.44257097
3.95604397	-70.79519047
3.96336998	-74.08593659
3.97069599	-76.08055791
3.97802199	-80.08640704
3.98534800	-75.58959227
3.99267401	-83.41261857
4.00000002	-72.90204634
4.00732602	-72.79609437
4.01465203	-72.33327955
4.02197804	-67.23082061
4.02930405	-66.42028972
4.03663005	-69.56480278
4.04395606	-67.07633309
4.05128207	-69.22391626
4.05860808	-71.33344721
4.06593408	-70.48047796
4.07326009	-72.19999368
4.08058610	-72.82638127
4.08791211	-70.83231863
4.09523811	-67.67239926
4.10256412	-65.75069704
4.10989013	-70.27811901
4.11721613	-74.19415242
4.12454214	-68.81754807
4.13186815	-69.45111934
4.13919416	-80.59810429
4.14652016	-76.39777384
4.15384617	-68.72364023
4.16117218	-74.07234373
4.16849819	-78.98892516
4.17582419	-73.36874944
4.18315020	-73.04477583
4.19047621	-75.55925491
4.19780222	-73.80002678
4.20512822	-74.85718446
4.21245423	-78.39988853
4.21978024	-71.70741900
4.22710625	-72.54188744
4.23443225	-83.44857072
4.24175826	-87.92827072
4.24908427	-73.94739463
4.25641027	-69.67733201
4.26373628	-75.00139864
4.27106229	-79.09519209
4.27838830	-76.62502835
4.28571430	-76.99143250
4.29304031	-77.75285200
4.30036632	-77.28358447
4.30769233	-79.49679674
4.31501833	-77.76060808
4.32234434	-72.22521030
4.32967035	-76.40136126
4.33699636	-79.16768150
4.34432236	-71.74561228
4.35164837	-79.54349294
4.35897438	-77.90262246
4.36630038	-81.19134112
4.37362639	-86.88455327
4.38095240	-79.32066943
4.38827841	-83.27666647
4.39560441	-71.73899526
4.40293042	-70.97741797
4.41025643	-81.30256298
4.41758244	-70.11526871
4.42490844	-76.05208645
4.43223445	-78.26327865
4.43956046	-85.50301407
4.44688647	-81.41837663
4.45421247	-89.68378411
4.46153848	-76.99332438
4.46886449	-82.72897397
4.47619050	-76.33134503
4.48351650	-74.30560845
4.49084251	-75.96356452
4.49816852	-80.01750980
4.50549452	-76.52991963
4.51282053	-75.89388461
4.52014654	-75.38386311
4.52747255	-73.07852766
4.53479855	-77.25726413
4.54212456	-90.12947930
4.54945057	-85.89810432
4.55677658	-69.41434623
4.56410258	-73.72266999
4.57142859	-76.38330492
4.57875460	-91.09039817
4.58608061	-94.88446947
4.59340661	-71.05974626
4.60073262	-72.68726650
4.60805863	-84.56678681
4.61538464	-78.50572108
4.62271064	-73.21441185
4.63003665	-78.57044738
4.63736266	-78.87739152
4.64468866	-96.35154942
4.65201467	-81.01761381
4.65934068	-82.31508877
4.66666669	-79.93258657
4.67399269	-81.03283492
4.68131870	-82.34704136
4.68864471	-82.41674622
4.69597072	-75.76523983
4.70329672	-78.04921438
4.71062273	-73.22376169
4.71794874	-74.95405244
4.72527475	-78.31526180
4.73260075	-76.47087552
